vendor_name,location,estd,mobile,email,certificates,products,website
MedPlus Surgical Supplies,"Kolkata, West Bengal",2009,+919023456890,care@medplussurgical.in,ISO 13485;CE;GMP,Surgical Masks;Safety Gloves;PPE Kits;First Aid Kits,https://medplussurgical.in
HealthShield India Ltd,"Hyderabad, Telangana",2016,+918134567901,info@healthshield.in,ISO 13485;GMP;MSME,PPE Kits;Sanitizers;Surgical Masks;Safety Helmets,https://healthshield.in
Himalaya Textile Mills,"Surat, Gujarat",1988,+917245678012,export@himalayatextile.in,ISO 9001;OEKO-TEX;SA8000,Cotton Fabric;Polyester Fabric;Uniforms;Workwear,https://himalayatextile.in
Bharat Garments Ltd,"Tirupur, Tamil Nadu",1995,+916356789123,sales@bharatgarments.in,ISO 9001;MSME;SA8000,Workwear;Uniforms;Cotton Fabric;Safety Vests,https://bharatgarments.in
Kumar Office Solutions,"Chennai, Tamil Nadu",2004,+919467890234,contact@kumaroffice.in,ISO 9001;GeM;MSME,Chairs;Desks;Filing Cabinets;Whiteboards,https://kumaroffice.in
Sapna Furniture Works,"Mumbai, Maharashtra",1999,+918578901345,info@sapnafurniture.in,ISO 9001;BIS,Office Furniture;Chairs;Desks;Storage Units,https://sapnafurniture.in
Spartan Electronics Pvt Ltd,"Noida, Uttar Pradesh",2011,+917689012456,sales@spartanelectronics.in,ISO 9001;BIS;GeM,Laptops;Desktops;Printers;Network Switches,https://spartanelectronics.in
TechGear India Pvt Ltd,"Bengaluru, Karnataka",2013,+916790123567,hello@techgearindia.in,ISO 9001;ISO 27001;CMMI Level 3,Servers;Storage Solutions;Network Switches;UPS Systems,https://techgearindia.in
Aarav Foods Pvt Ltd,"Ludhiana, Punjab",2000,+919801234678,procurement@aaravfoods.in,FSSAI;ISO 22000;HACCP,Rice;Wheat Flour;Sugar;Spices;Pulses,https://aaravfoods.in
Shree Grain Traders,"Nagpur, Maharashtra",1994,+918912345789,orders@shreegrain.in,FSSAI;MSME;ISO 22000,Rice;Pulses;Wheat Flour;Cooking Oil,https://shreegrain.in
PowerGrid Electricals,"Vadodara, Gujarat",2002,+917923456890,info@powergridelectricals.in,ISO 9001;BIS;ISO 14001,Transformers;Cables;Switchgear;LED Lights,https://powergridelectricals.in
Electra Components Pvt Ltd,"Coimbatore, Tamil Nadu",2008,+916834567901,sales@electracomponents.in,ISO 9001;BIS;IEC,LED Lights;Batteries;Solar Panels;Transformers,https://electracomponents.in
Rajasthan Marble & Stone,"Jaipur, Rajasthan",1990,+919145678012,export@rajmarble.in,ISO 9001;BIS,Marble Tiles;Granite;Sandstone;Floor Tiles,https://rajmarble.in
Decor Stone Works,"Bengaluru, Karnataka",2006,+918256789123,sales@decorstone.in,ISO 9001;MSME,Marble Tiles;Granite;Wall Tiles;Cement,https://decorstone.in
Apex Packaging Solutions,"Pune, Maharashtra",2010,+917367890234,info@apexpackaging.in,ISO 9001;FSC;BIS,Cartons;Bubble Wrap;Stretch Film;Packaging Tape,https://apexpackaging.in
ShipSafe Packaging India,"Chennai, Tamil Nadu",2014,+916478901345,orders@shipsafepackaging.in,ISO 9001;FSC;MSME,Cartons;Packaging Tape;Foam Packaging;Corrugated Boxes,https://shipsafepackaging.in
National Chemical Corp,"Mumbai, Maharashtra",1985,+919589012456,sales@nationalchemical.in,ISO 9001;ISO 14001;REACH,Industrial Solvents;Adhesives;Paints;Lubricants,https://nationalchemical.in
Chem India Ltd,"Vadodara, Gujarat",1997,+918690123567,info@chemindia.in,ISO 9001;ISO 14001,Paints;Adhesives;Industrial Cleaners;Lubricants,https://chemindia.in
Precise Auto Parts Ltd,"Faridabad, Haryana",2003,+917701234678,procurement@preciseautoparts.in,ISO 9001;IATF 16949;BIS,Bearings;Gaskets;Seals;Bolts;Nuts,https://preciseautoparts.in
Metro Industrial Parts,"Pune, Maharashtra",2005,+916812345789,sales@metroindustrial.in,ISO 9001;BIS,Bolts;Nuts;Fasteners;Bearings;Steel Rods,https://metroindustrial.in
SafeWork PPE Suppliers,"Delhi, Delhi",2012,+919923456890,info@safeworkppe.in,ISO 9001;CE;MSME,Safety Helmets;Safety Boots;PPE Kits;Safety Gloves,https://safeworkppe.in
GuardPro Safety Solutions,"Kolkata, West Bengal",2009,+918034567901,sales@guardprosafety.in,ISO 9001;CE;GMP,PPE Kits;Safety Vests;Safety Gloves;First Aid Kits,https://guardprosafety.in
Annapoorna Catering Supplies,"Hyderabad, Telangana",2008,+917145678012,orders@annapoornasupplies.in,FSSAI;ISO 22000;MSME,Spices;Cooking Oil;Rice;Pulses;Sugar,https://annapoornasupplies.in
Bharat Provisions Ltd,"Ahmedabad, Gujarat",2001,+916256789123,bulk@bharatprovisions.in,FSSAI;ISO 22000;GeM,Wheat Flour;Cooking Oil;Salt;Spices;Tea,https://bharatprovisions.in
SunRise Solar Tech,"Bengaluru, Karnataka",2017,+919367890234,info@sunrisesolar.in,ISO 9001;IEC;BIS;ISO 14001,Solar Panels;Solar Water Heaters;Batteries;Inverters,https://sunrisesolar.in
EcoEnergy Systems Pvt Ltd,"Coimbatore, Tamil Nadu",2011,+918478901345,sales@ecoenergysystems.in,ISO 9001;ISO 14001;IEC,Diesel Generators;UPS Systems;Solar Panels;Cables,https://ecoenergysystems.in
Modi Stationery & Supplies,"Jaipur, Rajasthan",2006,+917589012456,contact@modistationery.in,ISO 9001;GeM;MSME,Pens;Notebooks;Printer Paper;Filing Supplies,https://modistationery.in
Papyrus Office Products,"Delhi, Delhi",2010,+916690123567,orders@papyrusoffice.in,ISO 9001;GeM;MSME,Printer Paper;Pens;Filing Supplies;Ink Cartridges,https://papyrusoffice.in
Jagdish Hardware Store,"Surat, Gujarat",1999,+919701234678,info@jagdishhardware.in,ISO 9001;BIS;MSME,Drills;Hand Tools;Fasteners;Bolts;Nuts,https://jagdishhardware.in
ToolMaster India Pvt Ltd,"Ludhiana, Punjab",2007,+918812345789,sales@toolmasterindia.in,ISO 9001;BIS;CE,Power Tools;Hand Tools;Cutting Tools;Safety Gloves,https://toolmasterindia.in
AquaFlow Pumps,"Chennai, Tamil Nadu",2004,+917923456890,info@aquaflowpumps.in,ISO 9001;BIS;ISI,Water Pumps;Pipes;Valves;Fittings,https://aquaflowpumps.in
Fluidtech Systems Pvt Ltd,"Pune, Maharashtra",2009,+916834567901,sales@fluidtechsystems.in,ISO 9001;BIS,Pipes;Valves;Water Pumps;Pressure Gauges,https://fluidtechsystems.in
Seva Medical Supplies,"Kochi, Kerala",2013,+919945678012,care@sevamedical.in,ISO 13485;GMP;MSME,Disposable Gloves;Surgical Masks;Bandages;First Aid Kits,https://sevamedical.in
CarePlus Diagnostics,"Bengaluru, Karnataka",2018,+918056789123,info@careplusdiag.in,ISO 13485;NABH;CE,Diagnostic Kits;PPE Kits;Safety Gloves;Lab Supplies,https://careplusdiag.in
BrickMaster Industries,"Jamshedpur, Jharkhand",1993,+917167890234,orders@brickmaster.in,ISO 9001;BIS,Bricks;Concrete Blocks;Cement;Sand,https://brickmaster.in
Param Construction Corp,"Bhopal, Madhya Pradesh",2004,+916278901345,info@paramconstruction.in,ISO 9001;ISO 14001,Cement;Aggregates;Steel Rods;Bricks,https://paramconstruction.in
DataCare IT Services,"Mumbai, Maharashtra",2015,+919389012456,contact@datacareIT.in,ISO 27001;CMMI Level 3;GeM,IT Consulting;Cloud Migration;Cybersecurity Services;Laptops,https://datacareIT.in
Nexus Digital Pvt Ltd,"Gurugram, Haryana",2019,+918490123567,hello@nexusdigital.in,ISO 27001;CMMI Level 5,DevOps;IT Consulting;Servers;Network Switches,https://nexusdigital.in
